,altitude_mean_meters,Aroma,Flavor,Aftertaste,Acidity,Body,Variety,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Country.of.Origin,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
32,1300.0,8.5,8.17,8.0,7.75,8.0,Bourbon,8.0,10.0,10.0,10.0,8.0,0.12,Brazil,0,2,86.42
33,1300.0,8.17,7.83,8.0,8.08,7.83,Caturra,8.0,10.0,10.0,10.0,8.42,0.0,Costa Rica,0,0,86.33
35,1800.0,8.08,8.0,8.0,8.25,7.92,SL34,7.92,10.0,10.0,10.0,8.08,0.12,Kenya,0,1,86.25
39,1941.0,7.67,8.17,8.0,8.0,8.17,Other,8.08,10.0,10.0,10.0,8.08,0.0,United States,0,0,86.17
40,1300.0,7.83,8.33,7.83,8.25,7.58,Caturra,7.92,10.0,10.0,10.0,8.42,0.1,Thailand,1,9,86.17
41,12.0,8.17,7.92,7.92,7.75,8.33,Yellow Bourbon,8.0,10.0,10.0,10.0,8.08,0.08,Brazil,0,2,86.17
42,12.0,8.42,7.92,8.0,7.75,7.92,Yellow Bourbon,8.0,10.0,10.0,10.0,8.17,0.01,Brazil,0,3,86.17
43,1000.0,8.08,8.17,7.75,8.08,7.75,Bourbon,7.83,10.0,10.0,10.0,8.42,0.12,Taiwan,0,0,86.08
44,1754.0,8.08,8.08,8.0,8.0,7.83,SL28,8.08,10.0,10.0,10.0,8.0,0.11,Kenya,0,2,86.08
45,1250.0,8.33,8.0,8.0,8.0,7.75,Bourbon,8.0,10.0,10.0,10.0,8.0,0.11,Brazil,0,2,86.08
47,1200.0,7.75,7.92,7.83,8.08,8.08,Caturra,8.17,10.0,10.0,10.0,8.17,0.12,Colombia,1,1,86.0
48,1860.0,7.92,8.17,7.83,8.5,7.5,SL28,7.92,10.0,10.0,10.0,8.17,0.11,Kenya,0,1,86.0
49,1650.0,8.25,8.0,7.83,8.08,8.0,Other,7.92,10.0,10.0,10.0,7.92,0.1,Uganda,0,0,86.0
53,1650.0,8.17,8.17,7.92,8.08,7.83,SL14,7.75,10.0,10.0,10.0,8.0,0.12,Uganda,0,0,85.92
54,1800.0,8.0,8.0,8.0,8.17,7.83,Caturra,8.0,10.0,10.0,10.0,7.92,0.0,Colombia,1,0,85.92
55,1600.0,8.0,8.0,7.92,8.08,7.83,Gesha,8.0,10.0,10.0,10.0,8.0,0.08,Panama,0,0,85.83
57,1524.0,7.83,8.0,8.0,8.17,7.83,Bourbon,8.0,10.0,10.0,10.0,8.0,0.12,Guatemala,0,3,85.83
58,1417.32,8.0,8.0,7.83,8.33,7.83,Catuai,7.83,10.0,10.0,10.0,8.0,0.1,Guatemala,0,1,85.83
62,1500.0,7.92,8.17,8.0,7.92,7.75,Bourbon,7.83,10.0,10.0,10.0,8.0,0.1,El Salvador,0,3,85.58
63,1350.0,7.83,8.0,8.0,7.75,7.92,Bourbon,8.17,10.0,10.0,10.0,7.92,0.11,El Salvador,0,0,85.58
65,1680.0,8.0,7.75,7.83,7.83,7.67,Caturra,8.58,10.0,10.0,10.0,7.83,0.09,Panama,2,2,85.5
66,1900.0,7.92,7.92,7.83,8.08,7.83,SL28,7.92,10.0,10.0,10.0,8.0,0.1,Kenya,0,3,85.5
67,1900.0,7.83,8.0,7.83,7.92,7.83,Other,8.08,10.0,10.0,10.0,8.0,0.12,Ethiopia,0,7,85.5
68,1600.0,8.33,7.92,7.67,7.92,7.67,SL14,7.92,10.0,10.0,10.0,8.08,0.12,Uganda,0,1,85.5
69,1731.264,8.0,7.83,7.67,8.33,7.83,Bourbon,8.0,10.0,10.0,10.0,7.83,0.11,Guatemala,0,1,85.5
71,1950.0,8.08,8.0,7.83,7.67,8.0,SL14,7.83,10.0,10.0,10.0,8.0,0.12,Uganda,0,5,85.42
73,1250.0,8.0,8.0,8.0,7.67,7.75,Bourbon,8.0,10.0,10.0,10.0,8.0,0.11,Brazil,0,1,85.42
75,1700.0,8.0,8.0,8.0,7.83,7.83,Catimor,7.75,10.0,10.0,10.0,7.92,0.1,China,0,0,85.33
76,1770.0,7.83,7.75,7.83,7.67,7.83,Pacamara,8.58,10.0,10.0,10.0,7.83,0.11,Guatemala,0,1,85.33
77,1300.0,7.92,8.08,8.0,7.92,8.0,Caturra,8.08,10.0,10.0,9.33,8.0,0.0,Costa Rica,0,0,85.33
78,1300.0,8.0,7.58,7.58,7.67,8.08,Caturra,8.5,10.0,10.0,10.0,7.92,0.1,Costa Rica,0,2,85.33
79,1600.0,7.83,8.08,7.75,8.08,7.92,SL34,7.75,10.0,10.0,10.0,7.92,0.0,Kenya,0,2,85.33
80,1200.0,8.0,7.92,7.92,8.08,7.83,SL34,7.75,10.0,10.0,10.0,7.83,0.0,Kenya,0,6,85.33
84,1550.0,8.17,7.92,7.83,8.0,7.58,Caturra,7.83,10.0,10.0,10.0,7.92,0.11,Colombia,0,0,85.25
85,1550.0,7.58,8.08,7.92,7.83,8.0,Caturra,7.92,10.0,10.0,10.0,7.92,0.12,Colombia,0,2,85.25
86,1325.0,7.75,7.83,7.67,8.0,8.08,Sumatra Lintong,7.83,10.0,10.0,10.0,8.0,0.11,Indonesia,0,3,85.17
87,1400.0,8.25,8.0,7.67,7.92,7.75,Caturra,7.67,10.0,10.0,10.0,7.92,0.0,Guatemala,0,7,85.17
89,2560.0,8.17,7.83,7.58,8.08,8.0,Caturra,7.75,10.0,10.0,10.0,7.67,0.0,Colombia,0,0,85.08
92,2136.0,7.83,8.0,7.75,7.75,7.83,Caturra,7.83,10.0,10.0,10.0,8.08,0.11,Colombia,0,8,85.08
96,1800.0,8.17,7.92,7.75,7.75,7.67,SL14,7.75,10.0,10.0,10.0,8.0,0.11,Uganda,0,1,85.0
98,1900.0,7.83,8.0,7.58,7.92,7.92,Catuai,7.83,10.0,10.0,10.0,7.92,0.12,Costa Rica,1,1,85.0
99,1300.0,7.83,8.0,7.83,7.75,7.67,Typica,7.83,10.0,10.0,10.0,8.08,0.09,Mexico,0,3,85.0
101,1580.0,7.75,7.83,7.75,8.08,8.0,SL34,7.75,10.0,10.0,10.0,7.83,0.0,Kenya,0,5,85.0
102,1100.0,8.0,8.0,7.83,7.83,7.67,Mundo Novo,7.67,10.0,10.0,10.0,8.0,0.12,Brazil,0,3,85.0
103,1400.0,7.92,8.17,7.75,8.08,7.42,Pacamara,7.83,10.0,10.0,10.0,7.83,0.0,Mexico,0,0,85.0
107,1775.0,7.92,7.83,7.75,7.83,7.75,Caturra,8.0,10.0,10.0,10.0,7.83,0.12,Colombia,0,1,84.92
108,800.0,7.67,7.83,8.0,7.58,8.0,Typica,7.92,10.0,10.0,10.0,7.92,0.11,Taiwan,0,0,84.92
109,1620.0,8.0,7.83,7.83,7.92,7.75,Other,7.75,10.0,10.0,10.0,7.83,0.12,"Tanzania, United Republic Of",0,2,84.92
110,1775.0,7.75,7.92,7.83,7.75,7.75,Caturra,8.0,10.0,10.0,10.0,7.92,0.11,Colombia,0,3,84.92
111,1200.0,7.75,8.0,7.75,7.83,7.5,Typica,7.92,10.0,10.0,10.0,8.17,0.11,Mexico,0,0,84.92
112,1200.0,8.0,7.92,7.75,7.75,8.0,Bourbon,7.75,10.0,10.0,10.0,7.75,0.11,Brazil,0,2,84.92
113,1000.0,8.0,8.0,7.75,8.0,7.5,Catuai,7.75,10.0,10.0,10.0,7.92,0.12,Brazil,0,2,84.92
115,350.0,7.92,7.58,7.83,7.83,7.83,Typica,7.83,10.0,10.0,10.0,8.0,0.0,Taiwan,0,0,84.83
116,1650.0,7.75,7.92,7.67,7.67,8.25,SL14,7.75,10.0,10.0,10.0,7.83,0.12,Uganda,0,1,84.83
121,1800.0,7.92,7.83,7.58,7.92,7.75,SL34,7.83,10.0,10.0,10.0,7.92,0.13,Kenya,0,0,84.75
122,1450.0,7.83,7.75,8.0,7.67,7.67,Catuai,7.67,10.0,10.0,10.0,8.17,0.11,Honduras,0,4,84.75
125,1350.0,7.83,7.83,7.5,8.0,7.83,Bourbon,7.67,10.0,10.0,10.0,8.0,0.0,El Salvador,0,2,84.67
126,1200.0,7.92,7.83,7.75,7.75,7.75,Java,7.75,10.0,10.0,10.0,7.92,0.12,Indonesia,0,7,84.67
127,170.0,7.75,7.75,7.75,7.42,8.08,Mundo Novo,7.83,10.0,10.0,10.0,8.08,0.12,Japan,0,0,84.67
128,1150.0,8.08,7.75,7.67,7.83,7.5,Catuai,7.92,10.0,10.0,10.0,7.92,0.1,Costa Rica,0,2,84.67
129,1600.0,7.75,7.83,7.58,8.0,7.92,Bourbon,7.75,10.0,10.0,10.0,7.83,0.1,Guatemala,0,1,84.67
130,1750.0,8.17,8.0,7.83,7.17,7.83,Caturra,7.75,10.0,10.0,10.0,7.92,0.12,Costa Rica,0,0,84.67
131,1900.0,8.08,7.83,7.75,7.83,7.58,Ethiopian Yirgacheffe,7.67,10.0,10.0,10.0,7.92,0.1,Ethiopia,0,3,84.67
132,1750.0,7.67,7.58,7.75,7.75,7.67,Other,8.58,10.0,10.0,10.0,7.67,0.08,Costa Rica,0,1,84.67
133,1200.0,8.0,7.58,7.83,7.75,7.75,Catuai,7.75,10.0,10.0,10.0,8.0,0.11,Costa Rica,0,4,84.67
135,1000.0,8.0,7.92,7.75,7.75,7.75,Typica,7.75,10.0,10.0,10.0,7.75,0.11,Taiwan,0,0,84.67
136,1550.0,7.75,7.83,7.75,7.83,7.75,Caturra,7.83,10.0,10.0,10.0,7.92,0.0,Colombia,0,0,84.67
137,2000.0,7.75,7.92,7.83,8.0,7.58,SL28,7.75,10.0,10.0,10.0,7.83,0.11,Kenya,0,0,84.67
138,1310.64,8.0,7.83,7.67,7.83,7.67,Bourbon,8.0,10.0,10.0,10.0,7.67,0.11,Guatemala,0,4,84.67
139,1524.0,7.67,7.83,7.67,8.0,7.67,Bourbon,7.83,10.0,10.0,10.0,8.0,0.12,Guatemala,0,4,84.67
140,1200.0,7.83,7.58,7.67,7.92,7.92,Typica,7.83,10.0,10.0,10.0,7.92,0.13,Mexico,0,3,84.67
141,1775.0,7.92,7.83,7.75,7.92,7.67,Other,7.75,10.0,10.0,10.0,7.83,0.11,Uganda,0,3,84.67
144,1754.0,7.92,7.75,7.83,7.75,7.58,SL34,7.92,10.0,10.0,10.0,7.83,0.11,Kenya,0,5,84.58
145,1500.0,7.83,7.67,7.58,7.92,7.67,Other,7.83,10.0,10.0,10.0,8.08,0.0,Colombia,0,4,84.58
147,1800.0,7.83,7.83,7.83,7.75,7.58,Peaberry,7.83,10.0,10.0,10.0,7.92,0.1,Kenya,0,2,84.58
148,1524.0,7.75,7.83,7.67,7.92,7.75,Pacas,7.83,10.0,10.0,10.0,7.83,0.11,Guatemala,0,1,84.58
149,1219.2,8.0,7.92,7.67,7.58,7.58,Bourbon,7.67,10.0,10.0,10.0,8.17,0.09,Guatemala,0,0,84.58
150,1550.0,7.67,7.67,7.58,7.75,7.58,Caturra,8.5,10.0,10.0,10.0,7.83,0.0,Colombia,0,0,84.58
151,1750.0,7.75,7.75,7.83,7.75,7.58,Caturra,8.0,10.0,10.0,10.0,7.92,0.0,Colombia,0,5,84.58
153,1750.0,7.67,7.83,7.83,8.0,7.58,Caturra,7.92,10.0,10.0,10.0,7.75,0.0,Colombia,0,2,84.58
154,1575.0,7.75,7.83,7.75,8.0,7.83,Bourbon,7.67,10.0,10.0,10.0,7.75,0.12,Costa Rica,0,2,84.58
155,1800.0,7.42,7.67,7.75,7.75,8.08,Caturra,7.83,10.0,10.0,10.0,8.08,0.11,Colombia,0,6,84.58
156,1300.0,8.0,8.0,7.75,7.75,7.58,Bourbon,7.75,10.0,10.0,10.0,7.75,0.12,Brazil,0,2,84.58
157,1100.0,8.5,8.0,7.5,7.75,7.5,Catuai,7.83,10.0,10.0,10.0,7.5,0.11,Brazil,0,1,84.58
158,1200.0,7.92,7.67,7.92,7.75,7.67,Caturra,7.58,10.0,10.0,10.0,8.0,0.1,Costa Rica,0,2,84.5
159,1750.0,7.92,7.75,7.67,7.75,7.83,SL14,7.75,10.0,10.0,10.0,7.83,0.11,Uganda,0,1,84.5
160,1680.0,7.75,7.92,7.67,7.83,7.75,Catimor,7.67,10.0,10.0,10.0,7.92,0.1,China,0,1,84.5
161,1700.0,7.92,7.83,7.83,7.83,7.58,Caturra,7.58,10.0,10.0,10.0,7.92,0.11,Costa Rica,0,0,84.5
162,1800.0,8.08,7.67,7.83,7.83,7.67,Other,7.67,10.0,10.0,10.0,7.75,0.12,Colombia,1,0,84.5
163,1100.0,7.67,8.0,7.75,7.83,7.75,Other,7.58,10.0,10.0,10.0,7.92,0.0,China,0,2,84.5
164,1310.64,8.17,7.83,7.67,7.83,7.67,Bourbon,7.83,10.0,10.0,10.0,7.5,0.11,Guatemala,0,2,84.5
165,2000.0,7.92,7.83,7.67,8.0,7.67,SL28,7.75,10.0,10.0,10.0,7.67,0.11,Kenya,0,0,84.5
166,1350.0,8.0,7.92,7.42,8.08,7.5,Typica,7.67,10.0,10.0,10.0,7.92,0.12,Mexico,0,0,84.5
167,1500.0,7.92,7.83,7.75,7.75,7.75,Typica,7.83,10.0,10.0,10.0,7.67,0.11,Mexico,0,4,84.5
171,1300.0,7.58,7.83,7.83,8.0,7.67,Caturra,7.58,10.0,10.0,10.0,7.92,0.1,Costa Rica,0,3,84.42
172,1400.0,7.67,7.67,7.83,7.58,7.83,Mandheling,7.83,10.0,10.0,10.0,8.0,0.0,Indonesia,0,3,84.42
174,1775.0,7.92,7.75,7.67,7.92,7.67,Caturra,7.75,10.0,10.0,10.0,7.75,0.0,Colombia,0,3,84.42
175,1200.0,7.83,7.83,7.75,8.0,7.5,Typica,7.75,10.0,10.0,10.0,7.75,0.11,Taiwan,0,0,84.42
177,900.0,7.75,7.92,7.75,7.67,7.83,Pacamara,7.67,10.0,10.0,10.0,7.83,0.12,Mexico,2,4,84.42
179,1800.0,7.33,7.58,7.83,7.75,7.75,SL28,7.92,10.0,10.0,10.0,8.17,0.11,Kenya,0,4,84.33
180,1500.0,7.92,8.0,7.75,7.67,7.67,Caturra,7.75,10.0,10.0,10.0,7.58,0.1,Honduras,0,3,84.33
182,1500.0,7.58,7.92,7.58,7.75,7.92,Catuai,7.75,10.0,10.0,10.0,7.83,0.11,Honduras,0,2,84.33
184,442.0,7.75,7.67,8.0,7.67,8.08,Caturra,7.83,10.0,10.0,10.0,7.33,0.11,Colombia,6,0,84.33
185,1800.0,7.75,7.58,7.33,7.83,7.58,Caturra,8.08,10.0,10.0,10.0,8.17,0.0,Colombia,0,0,84.33
186,1700.0,8.0,7.75,7.75,7.83,7.5,Typica,7.67,10.0,10.0,10.0,7.83,0.12,Mexico,0,1,84.33
187,1275.0,8.17,8.0,7.5,7.75,7.5,Yellow Bourbon,7.67,10.0,10.0,10.0,7.75,0.0,Brazil,0,4,84.33
191,1000.0,7.92,7.75,7.75,7.67,7.67,Typica,7.83,10.0,10.0,10.0,7.67,0.12,Taiwan,0,0,84.25
192,1200.0,7.83,7.75,7.75,7.42,7.83,Catimor,7.67,10.0,10.0,10.0,8.0,0.12,Thailand,0,0,84.25
193,2560.0,7.83,7.58,7.75,7.58,7.67,Caturra,8.0,10.0,10.0,10.0,7.83,0.11,Colombia,0,2,84.25
194,1500.0,7.75,7.75,7.58,7.92,7.75,Caturra,7.75,10.0,10.0,10.0,7.75,0.11,Guatemala,0,4,84.25
195,1099.4136,7.75,7.92,7.5,8.08,7.58,Caturra,7.67,10.0,10.0,10.0,7.75,0.1,Guatemala,0,1,84.25
196,1400.0,7.83,7.83,7.58,7.75,7.75,Catimor,7.75,10.0,10.0,10.0,7.75,0.1,China,0,1,84.25
197,1775.0,7.67,7.67,7.75,7.75,7.67,Caturra,7.92,10.0,10.0,10.0,7.83,0.11,Colombia,0,3,84.25
198,1775.0,7.83,7.67,7.75,7.58,7.92,Caturra,7.75,10.0,10.0,10.0,7.75,0.12,Colombia,4,2,84.25
199,1800.0,7.83,7.75,7.83,7.58,7.67,Other,7.75,10.0,10.0,10.0,7.83,0.12,Colombia,0,0,84.25
200,442.0,7.42,7.67,7.83,7.75,7.92,Caturra,7.83,10.0,10.0,10.0,7.83,0.12,Colombia,3,0,84.25
201,1620.0,7.83,7.67,7.75,7.83,7.67,Other,7.67,10.0,10.0,10.0,7.83,0.12,"Tanzania, United Republic Of",0,7,84.25
202,1600.0,7.83,7.75,7.75,7.75,7.67,Other,7.75,10.0,10.0,10.0,7.75,0.12,"Tanzania, United Republic Of",0,2,84.25
203,1219.2,7.83,7.83,7.5,7.92,7.58,Bourbon,7.75,10.0,10.0,10.0,7.83,0.1,Guatemala,0,1,84.25
204,1700.0,7.58,7.5,7.75,7.83,7.92,Caturra,7.83,10.0,10.0,10.0,7.83,0.11,Colombia,0,2,84.25
206,1450.0,7.83,7.92,7.67,7.83,7.5,Typica,7.75,10.0,10.0,10.0,7.75,0.12,Mexico,0,1,84.25
207,1170.0,7.83,7.83,7.75,7.67,7.83,Bourbon,7.58,10.0,10.0,10.0,7.75,0.12,Mexico,0,0,84.25
208,1400.0,7.83,7.92,7.67,7.75,7.5,Bourbon,7.75,10.0,10.0,10.0,7.83,0.1,Mexico,0,4,84.25
209,1700.0,8.17,7.75,7.58,7.67,7.83,Other,7.58,10.0,10.0,10.0,7.67,0.13,Uganda,4,29,84.25
210,1700.0,7.75,7.83,7.58,7.83,7.67,Bourbon,7.75,10.0,10.0,10.0,7.75,0.13,Guatemala,0,1,84.17
212,1700.0,7.92,7.75,7.67,7.67,7.5,Caturra,7.67,10.0,10.0,10.0,8.0,0.09,Costa Rica,0,2,84.17
213,1116.7872,7.75,7.75,7.58,8.0,7.67,Caturra,7.83,10.0,10.0,10.0,7.58,0.11,Guatemala,0,6,84.17
214,1565.0,7.75,7.92,7.58,7.92,7.67,Caturra,7.67,10.0,10.0,10.0,7.67,0.1,Guatemala,0,10,84.17
216,1775.0,8.0,7.5,7.5,7.67,8.0,Caturra,7.83,10.0,10.0,10.0,7.67,0.0,Colombia,0,0,84.17
217,1000.0,7.67,7.83,7.83,7.5,7.67,Caturra,7.83,10.0,10.0,10.0,7.83,0.12,Nicaragua,0,0,84.17
218,1150.0,7.67,7.75,7.75,7.67,7.83,Catuai,7.75,10.0,10.0,10.0,7.75,0.0,Brazil,0,16,84.17
219,1850.0,7.67,7.75,7.67,7.75,7.5,Caturra,8.0,10.0,10.0,10.0,7.83,0.0,Costa Rica,0,0,84.17
220,1606.5,7.5,7.92,7.58,7.83,7.75,Gesha,7.83,10.0,10.0,10.0,7.75,0.1,Ethiopia,0,5,84.17
221,1400.0,7.92,7.75,7.75,7.75,7.75,Other,7.58,10.0,10.0,10.0,7.67,0.13,"Tanzania, United Republic Of",0,0,84.17
222,1530.0,7.67,7.5,7.67,7.42,7.83,Other,8.58,10.0,10.0,10.0,7.5,0.12,Colombia,0,4,84.17
224,250.5,7.58,7.75,7.75,7.75,7.75,SL28,7.83,10.0,10.0,10.0,7.75,0.08,Kenya,0,0,84.17
225,1038.5,7.58,7.83,7.75,7.67,7.67,Mundo Novo,8.0,10.0,10.0,10.0,7.67,0.11,Brazil,0,3,84.17
226,1310.64,7.92,7.75,7.67,7.67,7.83,Bourbon,7.92,10.0,10.0,10.0,7.42,0.11,Guatemala,0,4,84.17
227,1500.0,8.42,8.08,7.5,7.17,7.58,Bourbon,8.17,9.33,10.0,10.0,7.92,0.11,El Salvador,0,2,84.17
228,1750.0,7.75,7.75,7.75,7.75,7.83,Caturra,7.75,10.0,10.0,10.0,7.58,0.0,Colombia,0,2,84.17
230,1600.0,7.83,7.75,7.5,7.83,7.83,Other,7.75,10.0,10.0,10.0,7.67,0.11,Uganda,0,1,84.17
232,442.0,7.83,7.5,7.42,7.5,7.83,Caturra,8.5,10.0,10.0,10.0,7.5,0.0,Colombia,1,3,84.08
233,968.0,7.58,7.67,7.67,7.67,7.75,Typica,7.83,10.0,10.0,10.0,7.92,0.1,Taiwan,0,4,84.08
235,1775.0,7.92,7.75,7.67,7.75,7.67,Caturra,7.67,10.0,10.0,10.0,7.67,0.0,Colombia,0,2,84.08
236,1550.0,7.58,7.75,7.67,8.0,7.75,Bourbon,7.67,10.0,10.0,10.0,7.67,0.1,Guatemala,0,10,84.08
238,1480.0,7.67,7.75,7.67,7.75,7.67,Typica,7.75,10.0,10.0,10.0,7.83,0.11,Mexico,1,10,84.08
239,1800.0,7.92,7.92,7.83,8.0,7.92,Other,7.92,10.0,10.0,8.67,7.92,0.09,Ethiopia,0,15,84.08
241,1800.0,7.83,7.75,7.67,7.75,7.33,Gesha,7.75,10.0,10.0,10.0,7.92,0.11,Ethiopia,3,1,84.0
242,1500.0,7.42,7.83,7.75,7.92,7.75,Caturra,7.58,10.0,10.0,10.0,7.75,0.1,Honduras,0,5,84.0
243,1706.88,7.67,7.83,7.58,7.92,7.75,Caturra,7.67,10.0,10.0,10.0,7.58,0.12,Guatemala,0,7,84.0
244,1600.0,7.67,7.67,7.83,7.58,7.58,Other,7.83,10.0,10.0,10.0,7.83,0.11,Colombia,2,7,84.0
245,1219.2,7.92,7.67,7.42,7.92,7.75,Bourbon,7.83,10.0,10.0,10.0,7.5,0.1,Guatemala,0,1,84.0
246,1219.2,7.75,7.83,7.5,7.83,7.58,Bourbon,7.67,10.0,10.0,10.0,7.83,0.1,Guatemala,0,0,84.0
248,1450.0,7.58,7.42,7.75,7.92,7.75,Caturra,7.92,10.0,10.0,10.0,7.67,0.12,Colombia,0,0,84.0
249,1775.0,7.67,7.67,7.5,7.5,7.67,Caturra,7.67,10.0,10.0,10.0,8.33,0.12,Colombia,0,3,84.0
250,1550.0,7.75,7.75,7.5,7.58,7.67,Other,7.92,10.0,10.0,10.0,7.83,0.09,Ethiopia,4,40,84.0
251,1260.0,7.58,7.83,7.67,7.25,8.0,Yellow Bourbon,7.75,10.0,10.0,10.0,7.92,0.1,Brazil,0,0,84.0
252,1700.0,7.67,7.83,7.67,7.75,7.67,Caturra,7.75,10.0,10.0,10.0,7.67,0.11,Colombia,0,1,84.0
253,1200.0,7.67,7.83,7.5,7.75,7.92,SL34,7.67,10.0,10.0,10.0,7.67,0.0,Kenya,0,2,84.0
255,1650.0,7.67,7.75,7.67,7.75,7.83,SL28,7.67,10.0,10.0,10.0,7.67,0.0,Kenya,0,0,84.0
256,1700.0,7.92,7.75,7.58,7.67,7.67,Other,7.83,10.0,10.0,10.0,7.58,0.1,Uganda,10,26,84.0
258,890.0,7.5,7.75,7.58,7.5,7.58,Bourbon,7.5,10.0,10.0,10.0,8.5,0.0,Brazil,0,3,83.92
259,1300.0,7.83,7.83,7.58,7.92,7.42,Mundo Novo,7.5,10.0,10.0,10.0,7.83,0.11,Mexico,0,5,83.92
260,1350.0,7.67,7.75,7.5,7.67,7.67,Catimor,7.83,10.0,10.0,10.0,7.83,0.1,Thailand,0,1,83.92
261,934.0,7.58,7.67,7.67,7.75,7.58,Bourbon,7.83,10.0,10.0,10.0,7.83,0.11,Brazil,0,7,83.92
262,1200.0,7.83,7.75,7.83,7.75,7.83,Typica,7.75,9.33,10.0,10.0,7.83,0.11,Taiwan,0,3,83.92
268,1775.0,7.75,7.58,7.67,7.83,7.83,Caturra,7.67,10.0,10.0,10.0,7.58,0.0,Colombia,0,1,83.92
269,950.0,8.0,7.92,7.92,7.92,7.67,Typica,7.33,10.0,10.0,10.0,7.17,0.06,Taiwan,0,0,83.92
270,1550.0,7.67,7.83,7.67,7.75,7.67,Caturra,7.83,10.0,10.0,10.0,7.5,0.12,Colombia,0,3,83.92
271,900.0,7.67,7.75,7.58,7.67,7.75,Typica,7.83,10.0,10.0,10.0,7.67,0.12,Mexico,10,32,83.92
272,1500.0,7.5,7.67,7.58,7.83,7.75,Typica,7.75,10.0,10.0,10.0,7.83,0.11,Mexico,0,2,83.92
273,1400.0,7.75,7.92,7.83,7.92,7.75,Typica,7.67,9.33,10.0,10.0,7.75,0.0,Mexico,0,2,83.92
274,2527.0,7.92,7.58,7.5,7.83,7.58,Caturra,7.67,10.0,10.0,10.0,7.75,0.0,Colombia,1,6,83.83
276,1850.0,7.67,7.67,7.75,7.67,7.5,Caturra,7.75,10.0,10.0,10.0,7.83,0.0,Costa Rica,0,0,83.83
277,1500.0,7.75,7.75,7.5,7.75,7.83,Bourbon,7.58,10.0,10.0,10.0,7.67,0.11,Guatemala,0,6,83.83
279,1.0,7.25,7.58,7.42,8.0,7.75,Yellow Bourbon,7.83,10.0,10.0,10.0,8.0,0.0,Brazil,0,0,83.83
280,525.0,7.67,7.75,7.67,7.75,7.42,Typica,7.75,10.0,10.0,10.0,7.83,0.0,Taiwan,0,1,83.83
282,1200.0,7.67,7.67,7.58,7.5,7.83,Bourbon,8.17,10.0,10.0,9.33,8.08,0.0,Brazil,0,1,83.83
283,1300.0,7.83,7.42,7.5,7.83,7.75,Catuai,7.83,10.0,10.0,10.0,7.67,0.1,Costa Rica,0,3,83.83
284,1219.2,7.58,7.83,7.33,8.0,7.58,Bourbon,7.75,10.0,10.0,10.0,7.75,0.1,Guatemala,0,1,83.83
285,1260.0,7.92,7.5,7.33,7.67,8.17,Yellow Bourbon,7.5,10.0,10.0,10.0,7.75,0.1,Brazil,0,0,83.83
